china,korea
蒸发,[동사]증발하다.증발하다.종적이없이사라지다.
争夺,[동사]쟁탈하다.다투다.
整顿,[동사]정비하다.바로잡다.
正当,[동사]마침…한시기이다.[개사]곧[막]…에있다.
振奋,[형용사]분기하다.분발하다.[동사]용기를북돋우다.고무[격려]하다.
镇定,[형용사]침착하다.냉정하다.[동사]진정시키다.(흥분을)가라앉히다.
折磨,[동사](육체적정신적으로)고통스럽게하다.괴롭히다.
诈骗,[동사]속이다.갈취하다.
照耀,[동사]밝게비추다.환하게비추다.
照样,[동사]어떤모양대로하다.그대로하다.[부사]여전히.변함없이.
招收,[동사](학생·일꾼등을)모집하다.받아들이다.
着迷,[동사]몰두하다.사로잡히다.
瞻仰,[동사]첨앙하다.우러러보다.참배하다.
展现,[동사]드러내다.나타나다.
展示,[동사]드러내다.나타내다.
占领,[동사](토지나진지를)점령하다.점유하다.점거하다.
占据,[동사]점거하다.점유하다.
沾光,[동사]덕을보다.
眨,[동사](눈을)깜박거리다.깜짝이다.
增添,[동사]더하다.늘리다.
赠送,[동사]증정하다.선사하다.
责怪,[동사]원망하다.나무라다.
遭殃,[동사]재난을입다.불행[재앙]을당하다.
糟蹋,[동사]낭비하다.못쓰게하다.모욕하다.짓밟다.유린하다.능욕하다.
遭受,[동사](불행또는손해를)입다.당하다.
赞助,[동사]찬조하다.지지하다.
赞叹,[동사]찬탄하다.감탄하며찬미하다.
攒[攢],[동사]쌓다.모으다.
杂交,[동사]교잡하다.교배하다.
在意,[동사]마음에두다.
栽培,[동사]심어가꾸다.배양하다.인재를기르다[양성하다].(관료사회에서)발탁하다.등용하다.
砸,[동사](무거운것으로)눌러으스러뜨리다.내리치다.때려[두드려]부수다.깨뜨리다.실패하다.망치다.
预期,[동사]예기하다.미리기대하다.
孕育,[동사]낳아기르다.생육하다.배양하다.배태하다.
运行,[동사]운행하다.
